,Unnamed: 0,Team/Year,eFGPct,TOPct,ORPct,FTRate
1497,1497,2021 Chicago St.,41.3480885311871,21.705607932697,16.5644171779141,25.3521126760563
1498,1498,2021 Cincinnati,48.3569828230022,20.5400944477557,29.1319857312723,33.0097087378641
1499,1499,2021 Clemson,49.9622071050642,19.3754146450638,26.5644955300128,23.2048374905518
1500,1500,2021 Cleveland St.,50.5134788189987,18.769649476796,30.7196562835661,32.5417201540436
1501,1501,2021 Coastal Carolina,49.73604826546,21.7581593097412,34.7985347985348,33.7858220211161
1502,1502,2021 Colgate,56.6169154228856,14.7099698531141,28.2374100719424,30.9452736318408
1503,1503,2021 Colorado,52.396694214876,17.1296132895681,30.8447937131631,29.4765840220386
1504,1504,2021 Colorado St.,54.0933694181326,19.7058803895783,24.2030696576151,32.8146143437077
1506,1506,2021 Connecticut,48.9553314121037,17.5363978406674,37.3508353221957,29.0345821325648
1507,1507,2021 Coppin St.,48.5636645962733,19.9872574075267,18.4180790960452,43.7888198757764
1509,1509,2021 Creighton,55.0214822771214,15.7494819249367,24.5531514581373,25.671321160043
1511,1511,2021 Davidson,55.2746294681779,17.2565132131852,28.101644245142,26.8526591107236
1512,1512,2021 Dayton,55.4838709677419,21.2164181964512,23.0,33.7096774193548
1513,1513,2021 DePaul,46.1438474870017,22.0610539668533,31.8497913769124,23.6568457538995
1514,1514,2021 Delaware,49.4572591587517,21.1533351049694,28.322440087146,38.8059701492537
1515,1515,2021 Delaware St.,45.7142857142857,22.3129869147568,26.2924667651403,29.8095238095238
1516,1516,2021 Denver,49.8204667863555,20.9496482464176,22.0088626292467,34.1113105924596
1517,1517,2021 Detroit,55.077519379845,16.7855365732294,27.1604938271605,25.2713178294574
1518,1518,2021 Dixie St.,45.4504094631483,20.9349521130772,24.6879334257975,35.3958143767061
1519,1519,2021 Drake,53.4443168771527,15.2854690890249,31.9875776397516,24.6268656716418
1520,1520,2021 Drexel,53.3181818181818,19.4044133670637,28.7112561174551,27.2727272727273
1521,1521,2021 Duke,53.5835023664638,18.3313678365105,32.2274881516588,23.394185260311
1522,1522,2021 Duquesne,47.6442307692308,19.5058517555267,31.0136157337368,31.6346153846154
1523,1523,2021 East Carolina,45.2334630350195,18.5460238448878,26.8588770864947,33.0739299610895
1524,1524,2021 East Tennessee St.,50.3464203233256,20.2972091337441,30.4955527318933,29.7921478060046
1525,1525,2021 Eastern Illinois,49.2914356130622,20.0044280635036,28.8442211055276,25.6931608133087
1526,1526,2021 Eastern Kentucky,51.2479201331115,16.6446181599519,26.7723880597015,25.6239600665557
1527,1527,2021 Eastern Michigan,46.6928251121076,17.0616339612301,24.2369838420108,26.9058295964126
1528,1528,2021 Eastern Washington,54.249815225425,16.5548302673423,23.6338797814208,30.4508499630451
1529,1529,2021 Elon,48.3382209188661,17.5060203120092,24.6031746031746,23.1671554252199
1530,1530,2021 Evansville,53.1947652040031,17.3172485167366,19.029374201788,25.4041570438799
1531,1531,2021 FIU,50.4927975739196,20.9219719739256,25.8469259723965,24.0333586050038
1532,1532,2021 Fairfield,45.4326923076923,19.6797818355614,28.042328042328,34.0659340659341
1533,1533,2021 Fairleigh Dickinson,51.8881118881119,19.4982078853047,28.6721504112808,31.1188811188811
1534,1534,2021 Florida,53.1272210376688,21.1937746819168,31.077694235589,33.9019189765458
1535,1535,2021 Florida A&M,48.6234458259325,23.8593147505978,30.5555555555556,29.8401420959147
1536,1536,2021 Florida Atlantic,51.392632524708,20.4487361545016,31.6091954022989,30.0988319856244
1537,1537,2021 Florida Gulf Coast,47.6554536187564,20.3319274798707,28.59450726979,23.9551478083588
1538,1538,2021 Florida St.,54.0041067761807,20.4210421822153,34.3672456575682,32.4435318275154
1539,1539,2021 Fordham,41.4106145251397,20.7861499770741,19.2307692307692,27.5139664804469
1540,1540,2021 Fresno St.,48.8003427592117,21.532020335797,30.4926764314248,36.7609254498715
1541,1541,2021 Furman,56.6768994627782,17.8911674471177,27.0718232044199,25.7866462010744
1542,1542,2021 Gardner Webb,52.3549488054608,17.4564665010982,26.5625,29.9658703071672
1543,1543,2021 George Mason,48.7258687258687,17.7001494493751,30.2583025830258,29.3436293436293
1544,1544,2021 George Washington,49.7844827586207,19.7484823121828,24.4604316546763,36.0991379310345
1545,1545,2021 Georgetown,49.4411571334648,21.5119643282617,32.1581196581197,30.8349769888231
