,Team/Year,FT,2PT,3PT,FTagainst,2PTagainst,3Ptagainst
201,2016 Murray St.,19.1118,49.3014,31.5868,21.7524,50.7387,27.5089
202,2016 Alcorn St.,22.3712,50.7511,26.8777,21.4742,48.1572,30.3686
203,2016 Temple,16.2329,50.0221,33.745,18.6547,54.9776,26.3677
204,2016 Cleveland St.,19.1372,54.646,26.2168,22.9626,49.2809,27.7565
205,2016 East Tennessee St.,18.7883,48.773,32.4387,22.162,48.4308,29.4072
206,2016 Creighton,19.591,49.9462,30.4629,19.2262,51.8752,28.8985
207,2016 Louisville,17.4699,58.5198,24.0103,23.7467,47.2823,28.971
208,2016 Wake Forest,22.3965,52.1133,25.4902,22.3265,52.0816,25.5918
209,2016 Gardner Webb,19.3187,46.6636,34.0177,21.595,48.8351,29.5699
210,2016 George Washington,22.4696,49.4609,28.0696,16.6795,53.113,30.2075
211,2016 Tennessee St.,22.3374,54.4769,23.1857,22.9857,41.4236,35.5907
212,2016 Maryland Eastern Shore,21.1827,50.8968,27.9205,24.8163,46.2603,28.9235
213,2016 Tennessee,20.4777,50.0392,29.4832,20.9703,49.9218,29.108
214,2016 Northern Illinois,22.7619,46.9524,30.2857,22.281,43.7921,33.9269
215,2016 Southern Miss,20.4994,37.5145,41.9861,20.901,42.9544,36.1446
216,2016 Drexel,22.3455,51.664,25.9905,23.5795,51.1364,25.2841
217,2016 Saint Joseph's,20.7554,52.1583,27.0863,15.3846,50.5948,34.0206
218,2016 Hofstra,21.0058,46.2669,32.7273,13.9468,55.1329,30.9202
219,2016 Winthrop,22.1649,45.3608,32.4742,19.2831,54.1742,26.5426
220,2016 South Alabama,21.7761,49.8819,28.342,22.0537,49.2201,28.7262
221,2016 Columbia,20.5918,41.3458,38.0624,18.8189,48.6558,32.5253
222,2016 Illinois Chicago,24.345,55.6769,19.9782,22.2924,49.0072,28.7004
223,2016 Wichita St.,21.5535,48.8003,29.6462,26.5408,43.6382,29.8211
224,2016 Arkansas Little Rock,18.0915,50.1727,31.7358,22.2936,46.2679,31.4385
225,2016 North Florida,15.2529,41.323,43.4241,14.8475,62.2793,22.8732
226,2016 Maryland,20.4787,49.5441,29.9772,17.1514,52.6946,30.154
227,2016 Duke,21.4384,44.863,33.6986,14.8333,59.1798,25.987
228,2016 Bowling Green,21.29,53.9468,24.7632,19.6931,46.8031,33.5038
229,2016 Georgetown,21.7695,46.0082,32.2222,27.6371,47.173,25.1899
230,2016 Quinnipiac,17.4708,47.6384,34.8908,23.4162,52.0882,24.4955
231,2016 South Dakota,17.0764,57.5066,25.417,21.8685,45.1426,32.9888
232,2016 College of Charleston,18.721,51.2635,30.0155,22.8464,50.5083,26.6453
233,2016 Southern Utah,20.3101,49.3023,30.3876,21.8845,50.6296,27.4859
234,2016 Oklahoma St.,22.4154,48.6842,28.9004,22.4395,47.3929,30.1676
235,2016 St. Francis NY,20.8292,45.4545,33.7163,21.1725,57.4612,21.3663
236,2016 St. Bonaventure,21.9593,46.1602,31.8804,20.7597,50.3534,28.8869
237,2016 Seattle,20.1773,50.8863,28.9364,19.3093,44.6498,36.0409
238,2016 Idaho St.,21.8854,46.7077,31.4069,18.9263,49.1356,31.9381
239,2016 Bethune Cookman,18.2432,48.4556,33.3012,19.2187,51.0103,29.771
240,2016 Houston Baptist,24.5188,51.4207,24.0605,20.6336,51.3699,27.9966
241,2016 Richmond,17.551,53.0612,29.3878,19.9746,52.4757,27.5497
242,2016 Western Michigan,24.7217,50.9276,24.3506,20.4955,45.8559,33.6486
243,2016 Coppin St.,22.824,44.3907,32.7853,20.6471,52.7884,26.5645
244,2016 Presbyterian,20.8264,56.8595,22.314,20.0488,46.7317,33.2195
245,2016 Rider,19.9816,51.9063,28.1121,19.973,46.9636,33.0634
246,2016 Notre Dame,18.4172,52.5148,29.068,16.0173,51.6332,32.3495
247,2016 Marshall,16.6314,48.2734,35.0951,19.3502,54.8376,25.8122
248,2016 Syracuse,19.5442,43.9552,36.5006,16.4384,51.3076,32.254
249,2016 Robert Morris,20.269,54.0826,25.6484,19.6295,50.9925,29.378
250,2016 Milwaukee,21.8854,42.1096,36.005,16.7996,54.344,28.8564
251,2016 Yale,21.1699,53.4819,25.3482,19.8818,51.2628,28.8555
252,2016 Prairie View A&M,23.0481,56.5775,20.3743,24.614,53.0427,22.3433
253,2016 Boston College,15.0587,49.7192,35.2221,19.5035,50.7092,29.7872
254,2016 Texas St.,21.4439,56.8984,21.6578,20.1473,50.1841,29.6686
255,2016 Grand Canyon,22.3937,52.9608,24.6455,19.4202,52.278,28.3019
256,2016 Florida A&M,21.8343,50.2959,27.8698,20.9653,51.5837,27.451
257,2016 Radford,15.8072,54.2651,29.9277,19.1059,56.1882,24.7059
258,2016 South Carolina,23.4331,51.6567,24.9102,21.6428,41.721,36.6362
259,2016 Niagara,20.8515,55.0556,24.0929,21.1806,47.5694,31.25
260,2016 Samford,23.9518,54.2373,21.8109,22.9121,46.7862,30.3017
261,2016 Appalachian St.,22.5423,42.3411,35.1166,20.9758,56.1301,22.8941
262,2016 Howard,28.7138,52.4917,18.7945,20.2183,49.7817,30.0
263,2016 Marquette,22.0501,54.8272,23.1228,17.5654,52.2876,30.1471
264,2016 Grambling St.,24.6237,50.4515,24.9247,21.3887,50.1774,28.4339
265,2016 Kansas St.,23.5219,53.9846,22.4936,22.1235,51.0884,26.7881
266,2016 Colgate,16.1757,46.2307,37.5936,21.1363,47.9538,30.91
267,2016 Saint Peter's,19.4812,52.5941,27.9247,19.1243,47.5088,33.3669
268,2016 VCU,17.9432,53.7936,28.2632,20.2459,54.918,24.8361
269,2016 Texas A&M,19.9788,50.2122,29.8091,18.3483,47.1115,34.5403
270,2016 Bradley,22.9792,49.3072,27.7136,25.8581,49.1533,24.9886
271,2016 Northern Iowa,19.5234,44.4816,35.995,15.4464,51.6071,32.9464
272,2016 North Texas,22.5508,53.8817,23.5675,21.8459,50.7197,27.4344
273,2016 Tennessee Tech,23.8826,42.7991,33.3183,17.802,51.1353,31.0627
274,2016 Lehigh,18.0861,50.4579,31.456,16.8056,48.6111,34.5833
275,2016 Tennessee Martin,20.1362,47.9353,31.9285,17.2486,46.2768,36.4745
276,2016 Army,18.1112,46.6885,35.2003,17.7273,57.8512,24.4215
277,2016 Manhattan,22.7379,44.632,32.6301,24.4268,52.2928,23.2804
278,2016 Oklahoma,17.9783,43.1479,38.8738,16.9266,51.3503,31.7231
279,2016 Furman,22.6242,47.1665,30.2092,20.3201,50.0667,29.6132
280,2016 Cal Poly,20.0,46.6501,33.3499,20.8606,50.7951,28.3442
281,2016 Princeton,18.3227,45.3054,36.3719,17.4293,57.2751,25.2956
282,2016 Charlotte,18.4985,50.6192,30.8824,16.9137,52.9837,30.1026
283,2016 Texas Southern,20.1831,52.1015,27.7154,15.8008,56.5049,27.6943
284,2016 FIU,18.7003,57.036,24.2637,20.3067,48.3271,31.3662
285,2016 North Carolina,18.6349,61.0692,20.296,18.0422,48.9461,33.0118
286,2016 Bryant,15.4442,55.5785,28.9773,18.281,50.1745,31.5445
287,2016 Lamar,23.0121,50.4476,26.5403,24.2085,49.4886,26.303
288,2016 Northwestern St.,21.3666,50.6508,27.9826,18.744,54.9377,26.3183
289,2016 Savannah St.,22.8022,46.3736,30.8242,23.3465,49.8519,26.8016
290,2016 Tulane,18.75,52.3214,28.9286,20.6839,52.794,26.5221
291,2016 Clemson,19.2219,47.7073,33.0709,17.4087,51.8259,30.7654
292,2016 Virginia Tech,25.6098,51.5244,22.8659,19.0551,52.126,28.8189
293,2016 Seton Hall,21.0944,54.4013,24.5044,20.1735,52.2343,27.5922
294,2016 Chicago St.,17.9417,48.2113,33.847,21.5317,42.1007,36.3676
295,2016 Mount St. Mary's,18.7556,50.6763,30.5681,22.2612,55.1271,22.6117
296,2016 Oral Roberts,21.5213,53.9889,24.4898,18.8361,53.8427,27.3212
297,2016 Minnesota,22.2486,50.5693,27.1822,19.3984,49.8692,30.7323
298,2016 Idaho,24.4671,48.8415,26.6914,22.1028,43.271,34.6262
299,2016 Cal St. Northridge,24.4478,57.3293,18.2229,19.213,50.3704,30.4167
300,2016 UC Riverside,21.1502,46.1977,32.6521,21.7949,51.8315,26.3736
301,2016 Boise St.,21.886,46.6667,31.4474,19.8424,49.1423,31.0153
302,2016 UCLA,18.1452,57.6613,24.1935,19.0224,48.2281,32.7495
303,2016 Long Beach St.,20.6571,46.078,33.2649,20.8486,49.7756,29.3758
304,2016 Wyoming,23.4597,34.3128,42.2275,21.399,47.9521,30.6489
305,2016 Holy Cross,20.5558,46.2285,33.2157,18.5685,47.9346,33.4969
306,2016 East Carolina,19.7621,48.3989,31.839,14.95,52.5858,32.4641
307,2016 Loyola MD,22.2488,54.6411,23.11,21.4159,50.9735,27.6106
308,2016 Fordham,18.216,48.5446,33.2394,21.8252,48.1893,29.9855
309,2016 Mississippi Valley St.,20.1483,56.4326,23.4191,18.787,53.4763,27.7367
310,2016 Utah,19.9399,50.5445,29.5156,14.7858,53.7068,31.5074
311,2016 Duquesne,17.7147,45.9356,36.3497,21.4889,42.1335,36.3776
312,2016 Rutgers,20.4394,57.2111,22.3496,16.3217,52.3885,31.2898
313,2016 William & Mary,19.3651,50.1587,30.4762,16.2902,49.6877,34.0221
314,2016 Santa Clara,20.1493,45.9701,33.8806,20.8069,47.7788,31.4143
315,2016 Southern Illinois,20.8475,52.2034,26.9492,22.9699,51.5926,25.4374
316,2016 Ball St.,18.627,44.4537,36.9192,22.4606,46.6725,30.8669
317,2016 James Madison,19.6607,46.02,34.3193,22.2327,46.5379,31.2294
318,2016 Southeast Missouri St.,20.5549,56.5119,22.9332,17.1808,51.6374,31.1818
319,2016 Central Arkansas,21.6588,52.0379,26.3033,20.6058,48.8055,30.5887
320,2016 Alabama St.,19.3406,50.9843,29.6752,22.2897,53.4579,24.2523
321,2016 Baylor,21.3349,54.3504,24.3147,20.9544,50.1518,28.8937
322,2016 Coastal Carolina,19.3595,50.3824,30.2581,18.2583,48.7877,32.954
323,2016 Lipscomb,19.0377,43.3845,37.5778,19.9844,45.6564,34.3592
324,2016 Utah St.,18.3192,47.1199,34.5609,18.5714,50.5714,30.8571
325,2016 Iona,17.618,45.0533,37.3288,20.6446,47.8988,31.4565
326,2016 Butler,21.4556,51.7058,26.8385,20.3498,50.0853,29.5648
327,2016 Cincinnati,19.1894,49.5451,31.2655,16.7464,48.8038,34.4498
328,2016 Wagner,19.5143,54.4666,26.0191,24.4186,48.6512,26.9302
329,2016 SMU,17.6369,57.2661,25.097,17.1834,47.5039,35.3127
330,2016 Florida Gulf Coast,18.8535,61.1465,20.0,20.4334,51.3047,28.2618
331,2016 South Dakota St.,22.6485,47.0297,30.3218,23.3379,50.4749,26.1872
332,2016 Oakland,23.255,45.3854,31.3596,18.3904,51.3474,30.2622
333,2016 McNeese St.,21.0668,49.3534,29.5797,19.5474,54.0202,26.4324
334,2016 UT Rio Grande Valley,17.4286,50.1714,32.4,16.7611,57.6015,25.6374
335,2016 Western Carolina,21.7352,48.9833,29.2815,24.0086,46.3793,29.6121
336,2016 Northeastern,21.2691,42.1007,36.6302,15.0198,56.917,28.0632
337,2016 North Dakota St.,18.8364,51.979,29.1845,19.1343,55.1894,25.6763
338,2016 Villanova,19.211,47.4022,33.3868,17.5383,48.84,33.6217
