seed,Team/Year,AdjTempo,AdjOE,AdjDE,AdjEM,OppeFGPct,OppTOPct,OppORPct,OppFTRate,eFGPct,TOPct,ORPct,FTRate
5.0,2002 Florida,69.5612,115.387,89.6694,25.7176,46.2838,25.2218,33.1315,34.5721,53.0806,20.5232,38.496,36.1769
15.0,2002 Florida Atlantic,69.8592,98.4514,101.539,-3.08732,49.4804,25.3128,37.6744,37.5866,46.6045,20.7812,39.8361,30.8968
3.0,2002 Georgia,69.2028,116.091,97.2536,18.8371,48.7625,20.9106,36.3008,28.8573,50.0794,19.9106,39.5105,36.2626
6.0,2002 Gonzaga,67.9914,116.295,96.4997,19.7952,44.5647,18.6981,29.3794,31.6332,52.7629,19.7029,38.2002,44.3133
15.0,2002 Hampton,68.8228,109.772,105.848,3.92456,48.2292,21.4897,35.9833,32.0833,53.3988,20.8757,39.3833,42.0074
10.0,2002 Hawaii,64.9374,110.916,97.3463,13.5696,46.1843,21.9885,34.8444,34.3132,51.9591,18.1765,31.2621,39.9205
16.0,2002 Holy Cross,62.0567,97.6868,98.3544,-0.667653,48.2263,23.2983,27.7672,36.4526,44.9386,22.077,37.6007,46.2844
4.0,2002 Illinois,68.6908,114.796,92.8809,21.9149,47.5765,21.9626,31.715,38.7755,53.5714,20.8238,35.5394,44.617
15.0,2002 Illinois Chicago,67.2162,108.488,105.214,3.27351,50.2877,21.2451,35.223,44.9367,49.7525,18.4701,32.7993,42.1892
5.0,2002 Indiana,64.7779,112.595,89.6736,22.9213,45.7564,21.3659,33.2303,31.353,52.2101,20.6074,32.9341,37.2855
1.0,2002 Kansas,77.6019,118.1,90.3113,27.7883,45.8706,20.6425,32.5214,29.4168,54.5416,20.4253,41.2084,35.2239
10.0,2002 Kent St.,64.1921,115.899,96.5628,19.3362,47.0165,20.6878,31.4523,36.4944,51.9685,16.472,38.0992,35.6791
4.0,2002 Kentucky,67.6361,112.536,90.3566,22.1792,46.9432,22.7284,34.569,32.1507,49.639,20.193,41.1662,31.7689
5.0,2002 Marquette,64.5763,113.298,91.0361,22.2615,45.9898,24.9932,33.5702,33.6746,52.0098,20.4818,39.6405,39.1092
1.0,2002 Maryland,73.3263,118.151,91.2974,26.8534,44.8568,20.5133,33.5535,30.9028,53.0027,18.3287,36.0518,41.5036
