Team/Year,eFGPct,TOPct,ORPct,FTRate
2025 Bradley,47.7739726027397,16.0029202409199,28.3387622149837,34.7945205479452
2025 Brown,50.520381613183,15.2845591215238,30.8370044052863,28.7077189939289
2025 Bryant,47.8687415426252,16.284146557319,30.8888888888889,31.7997293640054
2025 Bucknell,50.8392511297611,17.6305272309424,29.520697167756,34.151065203357
2025 Buffalo,53.6101083032491,16.2396752064959,31.5594059405941,32.202166064982
2025 Butler,48.2872200263505,11.4544506610432,28.555431131019,22.3320158102767
2025 CSUN,49.4491525423729,21.4397471844841,23.0569948186528,48.3050847457627
2025 Cal Baptist,50.187969924812,17.8951112516302,29.9874529485571,32.406015037594
2025 Cal Poly,53.3401499659168,18.5897018263948,34.6793349168646,32.8561690524881
2025 Cal St. Bakersfield,55.0170068027211,18.8530523606531,29.6671490593343,50.5102040816327
2025 Cal St. Fullerton,52.7244819646969,17.5518668876664,31.6818774445893,37.9892555640829
2025 California,52.4473147518695,15.7370503306689,30.0236406619385,30.7953772943576
2025 Campbell,50.5586592178771,19.0228013029316,26.8456375838926,32.2426177174781
2025 Canisius,56.9758948137327,15.7134823896532,34.06292749658,31.190650109569
2025 Central Arkansas,55.9261887863733,17.1730308205763,31.125,23.4918381831086
2025 Central Connecticut,48.2377049180328,17.9025604615841,25.2348993288591,19.0983606557377
2025 Central Michigan,53.957783641161,18.3165279189677,28.7425149700599,32.2779243623571
2025 Charleston,50.2336448598131,16.7457034999964,28.7150837988827,28.0373831775701
2025 Charleston Southern,52.875816993464,13.680744777475,28.1963470319635,33.6601307189542
2025 Charlotte,53.5481535119479,14.4850159010191,29.8335467349552,34.8298334540188
2025 Chattanooga,51.1404133998575,16.2952457111819,29.2712066905615,34.4262295081967
2025 Chicago St.,53.6082474226804,18.2862335044118,33.5656213704994,38.7628865979381
2025 Cincinnati,47.2992700729927,19.2684597038891,29.0841584158416,24.4525547445255
2025 Clemson,49.5792426367461,19.8755539639196,30.2646720368239,26.9985974754558
2025 Cleveland St.,50.4105090311987,22.4930322274804,34.1001353179973,36.6995073891626
2025 Coastal Carolina,49.400299850075,10.7677036189579,27.6110444177671,35.3073463268366
2025 Colgate,53.2135452660677,16.2107396149949,27.1961492178099,26.1921216309606
2025 Colorado,50.4322766570605,17.0136760287295,28.436018957346,33.1412103746398
2025 Colorado St.,49.235807860262,16.4296130032142,25.7142857142857,34.1339155749636
2025 Columbia,55.0505050505051,17.7454659161976,28.2679738562091,26.7217630853994
2025 Connecticut,48.2985305491106,16.3221746158796,27.3399014778325,41.9180201082753
2025 Coppin St.,57.1490094745909,20.0803212851406,33.1269349845201,37.5538329026701
2025 Cornell,52.4324324324324,15.7561292701148,30.2325581395349,31.6216216216216
2025 Creighton,45.6534954407295,12.2198997266601,27.2277227722772,16.7173252279635
2025 Dartmouth,51.3501742160279,14.2251084761159,26.2048192771084,24.1289198606272
2025 Davidson,51.5425131677953,14.8915931380588,26.860025220681,28.6681715575621
2025 Dayton,51.1078286558346,18.3868961880249,29.2652552926526,28.5081240768095
2025 DePaul,50.5674232309746,16.0714543799049,28.2536151279199,29.0387182910547
2025 Delaware,50.9427374301676,15.4260999162627,32.981220657277,32.9608938547486
